"company_name","email","phone","website"
"SRIJAN (Promoted by WWF)"," sroy@wwfindia.net"," 91 1141504820",""
"Spectrum International Pvt. Ltd."," amit.shah@amitgroup.com"," + 91 2266247777"," http://www.spectruminternational.in"
"Shree Ram Fibres India Pvt. Ltd."," exports@shreeramfibres.in"," + 91 9752640222"," http://www.shreeramfibres.in"
"Shree Ambica Agro Industries Pvt LTD"," ambicacotton@gmail.com"," + 91 9937535301"," Http://www.shreeambica.in"
"Rim Khong Cotton Group"," vitoon.greennet@gmail.com"," +66 816822653",""
"Rapar and Dhrangadhra Farmers Producers Company Ltd. (RDFC)"," shailesh.patel@rdfcindia.in"," + 91 9428401425",""
"Puneet Enterprises"," puneetspin11@yahoo.com"," + 91 8007861764 / +91 9423702799",""
"Pratima Organic Grower Group"," meherpravakar@gmail.com"," +91 9437022187"," http://www.pratimaagro.com"
"Pratibha Syntex Ltd."," avinash@pratibhasyntex.com"," +91 731 4267900"," http://www.pratibhasyntex.com"
"OM Organic Cotton Pvt. Ltd."," ravi220644@gmail.com"," +91 9800116451"," https://www.omorganiccotton.co.in/"
"Noble Ecotech"," nobleecotech@gmail.com"," + 91 9425900931"," http://www.nobleecotech.com"
"Maa Ganga Cotton"," arpitbankar.org@gmail.com"," + 91 9977157157",""
"KRISHNA BIOTECH"," krishnabiotech2000@gmail.com"," +91 9425053065",""
"Kowa India Private Limited"," komalb@kowaindia.com"," +91 9870131717"," http://kowaindia.com/"
"I&A Foundation"," iandafoundation23@gmail.com"," +91 7747899099"," http://www.Iandafoundation.com"
"Farmer Association For Rural Management (FARM)"," farm.gujarat@gmail.com"," +91 9824233277"," https://www.farmgujarat.com"
"Ecotton"," info@bergmanrivera.com"," +51 12423021"," http://www.bergmanrivera.com"
"Grameena Vikas Kendram Society for Rural Development – RESET"," sanne@gvksociety.org"," +91-6281995236 / +31 -630830281"," https://gvksociety.org/portfolio-item/reset/"
"ECOfashion Corp / MetaWear"," marcizaroff@gmail.com"," +1 5613022010"," https://www.metawearorganic.com/"
"EcoFarms India"," aanand.ecofarmsindia@gmail.com"," +91 9820219716"," http://www.ecofarmsindia.in"
"Harman Group"," nitin@harmancottex.com"," +91 9-9752234222"," https://www.harmangroup.org/"
"Natures Purest Textile (Beijing) Co., Ltd."," tolen83@163.com"," +86 1065817178 / +86 13701261780"," http://www.bjzctx.com/"
"CottonConnect"," alison.ward@cottonconnect.org"," +44 (0) 2038657038"," http://cottonconnect.org/"
"CottonConnect"," alison.ward@cottonconnect.org"," +44 (0) 2038657038"," http://cottonconnect.org/"
"Chetna Organic Agriculture Producer Company Ltd"," nandakumar@chetnaorganic.org.in"," +91 9177133466"," http://www.chetnaorganic.org.in"
"BioSustain Tanzania limited"," haider@biosustain.de|haider@biosustain.de"," +255 715883786|+255 715883786"," http://www.biosustain.de|http://www.biosustain.de"
"Remei Tanzania Ltd"," mailto:marco.paul@remei-tanzania.co.tz"," +255 28 298 6342 / +255 627828884"," https://www.remei-tanzania.com/"
"bioRe India Ltd"," ceo.bioreindialtd@gmail.com"," +91 9575800919"," http://www.bioreindia.com"
"Associação De Certificação Participativa Dos Produtores Agroecológicos Do Cariri Paraibano (ACEPAC)"," avedaterra@yahoo.com.br"," +55 83999826195",""
"Sanjeevani Institute for Empowerment and Development"," samir.prajapati@arvind.in"," +91 9998305473"," http://www.sied.org.in"
"Anandi Eco Farms (a unit of Anandi Enterprises)"," rsbala@anandi.co.in"," +91 9994956615 / +91 9842038418"," http://www.anandi.co.in"
